,CAND_ID,numdonat
0,H0NH02181,135
1,H0IA04145,87
2,S0KS00232,39
3,P00013417,1
4,H0VA03124,3
5,H0MN05210,54
6,H4NY11138,12
7,H0TX11198,8
8,H6KY01110,9
9,S0FL00338,29
10,H0NY17190,20
11,H0AL05163,18
12,H0PA01309,30
13,H8VA01147,18
14,H0TX32079,17
15,H0NV03116,9
16,H0CA25220,1
17,H6TX15162,16
18,P00013433,3
19,H8CA34068,12
20,H6PR00082,45
21,H0NV03132,74
22,H8VA11070,2
23,H0NM02229,107
24,S0MT00173,1436
25,H0NC03172,40
26,H2OH17109,114
27,H0IL03117,1
28,H2TX31044,126
29,H8NJ05136,2
30,H8NJ02166,68
31,H0TX13228,19
32,H2TN07103,66
33,H0CA03078,90
34,H8CA41170,14
35,H0CT02199,26
36,S4SD00049,151
37,H0NY01202,47
38,H0MN04049,26
39,S0WY00160,2
40,H8CA12098,135
41,H0GA07265,3
42,H8TX02166,861
43,S0ID00180,22
44,H0OR02127,20
45,H2CA33048,20
46,H0TX17195,5
47,H2CA20094,266
48,S2TN00058,16
49,S6PA00217,34
50,H4CA11081,96
51,H0CA10073,4
52,H0TX22302,16
53,S2VA00142,41
54,H0KS03244,12
55,H8NY27176,14
56,H0GA07208,6
57,H0CA31129,7
58,S8ID00027,16
59,H0CA18068,17
60,H0CA25113,16
61,H0WI03142,2
62,H6FL07140,65
63,S0NC00327,4
64,H0MI03282,26
65,S8NJ00483,4
66,H0NY17208,12
67,H0SC05056,43
68,H2NV04045,1
69,H0IN08213,8
70,H0NY25094,3
71,S4LA00107,301
72,H0TX13137,3
73,H4NY04075,45
74,S0KY00156,40
75,S0NM00116,2
76,H8CT05245,84
77,H8AL02171,15
78,H0DC00058,14
79,H0NJ05174,17
80,H8NY07046,38
81,H0FL02086,2
82,H8MI08102,309
83,H0FL03159,3
84,H0NY11094,1
85,H0MN03124,33
86,H4PA21069,1
87,H8PA10147,28
88,H0VA11127,9
89,H0WI01120,6
90,H0NY16143,25
91,H0OR05104,5
92,H8MA08170,2
93,H0IN05326,48
94,P00006486,1130
95,H2CA15094,211
96,H0VA05160,28
97,S4IA00129,518
98,H8NM01331,104
99,H4TX10093,333
100,H6LA04138,37
101,H8SC04276,2
102,H0MD01216,2
103,H0GA07299,8
104,H8TX32098,605
105,H0TX01108,24
106,H0OH12179,139
107,H0NC09187,202
108,H0NJ03203,1
109,S8WV00119,33
110,H8SC04250,12
111,H2NY06116,38
112,H6CA44145,7
113,S0TN00144,146
114,H4NJ12149,10
115,H8IL09190,11
116,H8VA05114,75
117,H0FL04157,18
118,H8FL27086,2
119,S8TX00459,110
120,H0FL23108,4
121,H8CA16065,2
122,H0FL19080,49
123,H2AZ09035,49
124,H4NY24073,80
125,P00012039,2
126,H8PA18199,72
127,H2UT04023,3
128,S2ND00099,13
129,S6CA00584,49
130,P00010298,3215
131,P00014209,8
132,H0VA10160,18
133,H0CT05192,1
134,S0AL00156,1314
135,H0FL13125,1
136,H0CA16120,20
137,H6CA05195,23
138,H0WV03151,1
139,S4PA00121,190
140,H8NY19058,100
141,H8MD01094,45
142,S0NJ00258,3
143,H0UT01171,3
144,H6CA44103,38
145,H0OH04093,42
146,H8KS03155,178
147,H8TN06094,32
148,H0CA53131,6
149,H0KY06104,107
150,H0CA22094,2
151,H0OK05262,4
152,H0CA43108,216
153,H8CA29100,2
154,H6FL02208,16
155,H8IL14083,124
156,S0TX00324,5
157,H0WA08103,10
158,H6CA46116,39
159,H0FL22050,1
160,H8TX21307,291
161,S6OR00110,28
162,H0OR02168,159
163,H0AL02152,6
164,H6OH08315,16
165,H0IL14197,6
166,S8MS00196,9
167,H0IL14163,93
168,H0FL17068,2
169,H8CA45130,932
170,S0CO00567,8
171,H8TX06035,15
172,S4MS00120,1
173,H0VA06044,6
174,S8ID00092,85
175,H4TX24094,30
176,H8WI01156,162
177,H0TX24191,6
178,H6NY22098,21
179,S0KY00339,878
180,H8CA22139,1
181,H0IA01174,300
182,S0TX00233,122
183,H0VA04064,1
184,S8MI00281,13
185,H8TX07140,685
186,H8TX22313,581
187,H8IL16153,10
188,H0NY16135,1
189,H4PA13199,31
190,S2WA00189,44
191,H4NY21079,183
192,H6VT00160,5
193,H4IN01012,12
194,H6FL18097,57
195,H4GA12051,10
196,H0CA40138,1
197,H0FL21078,30
198,S6ID00104,2
199,H8TX16109,69
200,S0KS00240,52
201,S2MA00170,13
202,H4NC06052,18
203,H0NY24063,60
204,H8OH05036,56
205,S0TN00169,586
206,H8VA06104,43
207,H6PA02171,3
208,H6GA04129,1
209,H0TX21148,840
210,S6MT00162,21
211,H2IL02172,41
212,H0WA08046,24
213,H8CA08120,23
214,H0TX02080,10
215,H8TX25159,138
216,H8CA10209,154
217,H4IL12060,76
218,H6CA24303,256
219,H8MN03077,1
220,H0MN02134,31
221,S6MN00267,5
222,H0PA13114,3
223,H6PA08277,104
224,H0FL19122,69
225,H6MD03292,65
226,H0TX06099,96
227,H0KS01198,17
228,S6AZ00258,1
229,H6MI01226,38
230,H8GU01046,1
231,H6NE03115,13
232,H8FL03046,23
233,H0MI08141,21
234,H0NY02192,101
235,H0TN07255,9
236,S8ND00120,1
237,H8ND00096,18
238,S6WY00068,31
239,H0GA07323,15
240,H0WI05113,21
241,H0IL14213,8
242,H8NY02104,2
243,H0NC11233,40
244,S8MN00586,1
245,S8VA00297,2
246,H8MA02041,51
247,H8MO08098,4
248,H8NY24090,84
249,H4IA03115,192
250,H8FL06122,40
251,H0OH01081,25
252,H8MN01279,149
253,H0GA07257,20
254,H0MD07106,16
255,H0IL15129,70
256,H0MI03274,2
257,H4WI06048,37
258,H0NY22083,7
259,H2CA43245,130
260,H0NC07124,1
261,H8CA39240,261
262,H0FL26036,74
263,H0TN01134,2
264,H0UT01163,1
265,H0NJ02197,1
266,H8NH01210,127
267,H8CO02269,2
268,H0IL17083,155
269,H6WA04141,2
270,H4GA01039,52
271,H0TX22245,1
272,H2TX03126,12
273,H0NJ07279,25
274,H0KS03137,1
275,H0NY27108,39
276,H0GA12059,1
277,H0NY19196,2
278,H0OR02135,7
279,S0KS00349,19
280,H0PA08221,101
281,H4NJ09095,58
282,H0WA03187,186
283,H0TX22153,4
284,S2WI00219,24
285,H8CA05035,528
286,H0CA50145,7
287,H0MI02201,4
288,H2SC07066,31
289,H0OH04085,1
290,H0KS02188,23
291,S0IL00527,1
292,H0NC03149,80
293,H0NC02133,1
294,H8CO03192,34
295,H8AZ01237,35
296,H8IN04140,1
297,S4NJ00250,2
298,H0CA50111,10
299,H8IA01094,280
300,H2IL13120,140
301,H0NY10146,2
302,H2OH02085,64
303,H0MA10082,4
304,H0GA06168,28
305,H0PA10128,2
306,H4MT01033,15
307,H4FL26038,5
308,H8FL15230,46
309,S2IN00091,3
310,H8KS02199,22
311,H0KS01222,2
312,H0PA08205,3
313,H0IL14080,3
314,H0FL15104,6
315,H6FL09179,7
316,H0CA04175,289
317,H8AL04086,2
318,H0MI07150,28
319,H0NM03110,52
320,H2TX27190,9
321,H0VA10186,27
322,S0IA00200,12
323,H0MA08037,19
324,H0CA52083,10
325,H0NY03083,7
326,H2FL23021,10
327,H0MA04184,16
328,H0IN05250,7
329,H0CA50178,125
330,H6NJ13191,3
331,H6CO01141,23
332,H0TX24175,6
333,H8MA07032,42
334,H8GA13027,3
335,H2CA52089,56
336,S0AR00218,2
337,S0WV00215,33
338,H0SC02061,92
339,H0OR04099,6
340,H4MA03022,13
341,H0LA01087,217
342,S8TN00311,116
343,P00014407,67
344,H0OH01099,290
345,H2MI05119,9
346,H6AZ05125,1
347,S0ND00093,11
348,H8MD06168,23
349,H6FL22081,1
350,S6NH00091,47
351,H8TX23147,1
352,H8GA08118,1
353,H8LA03037,1
354,H0MA08045,6
355,H8CA50098,270
356,H8MA03171,2
357,H0CA37167,2
358,H6MN07304,1
359,H2NY17071,61
360,H2NV02395,25
361,H0PA01325,113
362,H0KY03259,1
363,H0CA25147,1
364,H8NY19181,390
365,H8CA01257,156
366,H6AZ05083,28
367,H2CA08164,11
368,H0WI01104,1
369,H0PA08239,1
370,H0TX31147,1
371,H0AZ01408,2
372,P00015941,4
373,H0CT05234,2
374,H8VA02111,256
375,H6NJ08118,34
376,H0FL01153,2
377,H8NJ03073,61
378,S6UT00063,6
379,H6MI04113,50
380,S8UT00176,4
381,H6FL13205,189
382,H0NY14247,12
383,H0NY02234,4
384,H2TX23082,79
385,H4NY27076,11
386,H0TX11230,196
387,H0GA14030,4
388,H0VA07109,10
389,H0WV02179,35
390,H0FL05170,1
391,H4NC10047,46
392,S0OH00133,262
393,S4GA11285,697
394,H4CA45089,143
395,H6GA03113,43
396,H0OH07146,1
397,H0NY11078,140
398,P00009795,269
399,H8KY02031,7
400,H8CA10126,966
401,S8WA00194,2
402,H0CO06119,67
403,H8NY19215,3
404,H0CA03144,6
405,H6IN09176,5
406,H8KS04112,67
407,H0KS03236,73
408,H8NY23183,60
409,H4AR04048,64
410,H0TX24159,25
411,H0NM03227,2
412,H6MN02131,159
413,H0NM03185,22
414,H0NY27116,8
415,H2CA36439,154
416,H0IL16184,4
417,P00009910,155
418,H0NY02200,13
419,P00013524,190
420,H0PA11183,1
421,H0CA08101,206
422,S0KY00396,32
423,H0FL07143,19
424,H0TX32087,438
425,H6FL04105,34
426,H8IN06129,29
427,S0NM00066,43
428,H0IN07256,4
429,P00011999,162
430,H8AK00140,104
431,H0KS03228,37
432,H6KY03124,4
433,H8CO02160,51
434,H0VA05145,142
435,P00011866,140
436,H2IA05072,6
437,H0NJ02171,32
438,H4CA23011,19
439,H0DC01015,3
440,H0IL04081,1
441,H8NJ02232,4
442,H2MD02160,15
443,S6OH00163,20
444,S8TX00285,182
445,H8IL06139,1050
446,S0IA00028,35
447,H0TN01076,4
448,H8CA04152,99
449,P00012716,145
450,H0TX17161,2
451,H0CA34131,14
452,H0MI08166,4
453,H2SC02059,56
454,H8WV03048,1
455,H8SC05158,8
456,H0CA10263,4
457,H0CA25154,131
458,H0NY15293,1
459,P80006117,950
460,H0IL15194,3
461,H0MI11145,1
462,H6IL11133,1
463,H8VA05155,3
464,H8NJ04014,28
465,H8OH16090,1
466,S0KS00257,47
467,H2OH03125,27
468,H8PA15260,12
469,P00009621,551
470,H0MN07109,15
471,H0AR03055,35
472,H2MI14111,13
473,H2OK04055,51
474,H0WA06099,1
475,H0IA02164,1
476,S0KY00321,14
477,H0FL19171,12
478,H6TX08100,136
479,H8MT01182,3
480,S0KY00420,39
481,H8AL03062,2
482,S8MN00636,2
483,H8WV03097,19
484,H0FL19197,4
485,H8ME02185,118
486,H0NV04049,1
487,S4NE00090,206
488,S0IL00543,20
489,H0CA53115,81
490,H0NC08254,260
491,H0TX22260,1
492,H8FL27193,167
493,H8CO06294,2
494,H2CA31125,117
495,H0OH02139,26
496,H0TX28069,3
497,S0CO00500,190
498,H0VA08198,3
499,H0CA25105,146
500,H6CO07023,11
501,H8NC08109,6
502,S6NV00200,49
503,H0OR04107,121
504,H0TN01084,13
505,H0IL11052,82
506,H6OR03064,45
507,H8AZ01104,35
508,H8NC13067,217
509,H0TX35015,45
510,H8OH16108,67
511,H8ID02064,18
512,H0NV04080,1
513,H0VA07158,35
514,H6NY03247,112
515,H8NY21203,17
516,H8IN04199,2
517,H8TX14120,21
518,H6NE02125,144
519,H8FL27037,42
520,H0FL07184,4
521,H8CA49058,379
522,H8GA06393,381
523,S0WY00137,28
524,S0TX00258,80
525,H0IN02190,53
526,H0GA07224,41
527,H0KY02095,4
528,H4GA11061,6
529,H8VA10106,314
530,S8WV00143,3
531,H8FL17053,12
532,H8WI06098,1
533,H0RI02139,39
534,H0VA10194,34
535,S8NM00200,4
536,S0NH00326,39
537,H8NH02275,5
538,H0NY01186,97
539,H8MN08068,3
540,H0MO01066,7
541,H0PA08197,2
542,H0TX02098,2
543,S0IL00618,1
544,H8TX22107,27
545,H8WI05165,6
546,H0NJ02148,20
547,H6NV04020,238
548,H2NY22139,153
549,H0MA01081,23
550,H8NM02156,160
551,H0OR02150,71
552,H8OH16124,77
553,H6MD08457,83
554,H0TX32111,2
555,H0MI13471,1
556,S0VA00146,57
557,H8MP00041,14
558,S2NV00183,30
559,H8NY20056,22
560,H0UT04035,14
561,H6MD08549,23
562,H8MI11338,1
563,H0NM03201,5
564,S0TX00266,26
565,P00012054,10
566,H0CA34115,2
567,H0CA28182,141
568,S0NY00410,4
569,H8CA12262,84
570,H8PA04116,62
571,H2FL13139,1
572,H0CA03128,24
573,H0GA14048,4
574,H8NM02248,382
575,H0TX11263,6
576,S2HI00106,7
577,H0CO03157,25
578,H8CO06229,203
579,H8NY01148,227
580,H0MS04120,12
581,H2NY10092,169
582,H2GA12121,29
583,S0MO00183,100
584,S0TX00332,1
585,H4NE01064,89
586,H0AZ01259,8
587,H2MO02102,184
588,H2OH14064,109
589,H0TX02106,398
590,S0WI00197,10
591,H4MN06087,34
592,H0NV04015,34
593,H4AL06098,37
594,H0IN01135,24
595,H4TX19136,11
596,H8CA52037,6
597,S8MO00160,76
598,H0FL07119,1
599,H0NY29054,70
600,H8NH02283,3
601,H0MI03126,60
602,H0CA20122,9
603,P00011239,28
604,S0IA00150,12
605,H0TX03112,8
606,H0WI03175,34
607,H6NC04037,35
608,H8OK01157,34
609,H6TX12060,114
610,H0HI02155,13
611,P00009423,762
612,H0TX07188,2
613,H6WA07458,100
614,H0TN01118,6
615,H0NE01120,105
616,H0NV04056,15
617,H6CO03139,48
618,H0CT05200,32
619,H0FL18207,3
620,S8NV00156,44
621,H4NC01046,41
622,H0NC06225,1
623,H0TX31048,3
624,H0IL10351,1
625,H0NY14346,154
626,H0PA12199,1
627,H0NY15178,12
628,H4AR02141,172
629,H0UT02310,2
630,S0MN00328,90
631,H8NY10099,1
632,H8AR03074,1
633,H0NY19188,1
634,H0NH01282,51
635,H0NY04123,2
636,H0IL14189,18
637,H8CA34266,26
638,H2NV04011,117
639,H6TX24149,1
640,H2TX00015,7
641,H0UT01205,7
642,S0WV00090,1
643,H0FL15088,19
644,H0TN03254,44
645,H0OH01115,1
646,H0MI03308,128
647,H2NC08185,199
648,H6VA01117,6
649,H6MI07223,2
650,H8PA06087,193
651,H0UT04027,2
652,H0CA27085,393
653,H0VA02118,67
654,H0CA15262,6
655,H0FL22118,3
656,H8UT04053,314
657,S8NY00082,57
658,H0NV04031,4
659,H0NC09286,74
660,H8AZ08158,30
661,H0SC04281,4
662,H0WA10042,8
663,H6MD07020,5
664,H0AR01083,35
665,H0ND01042,4
666,H0MD07387,1
667,S0ME00145,32
668,H0CO05129,1
669,H8NY19223,22
670,S6WY00126,1
671,P00008003,3
672,S0KS00299,44
673,S8AZ00197,76
674,H6CA48245,22
675,H0TX10216,9
676,P00009183,315
677,H2CA28113,65
678,H4MA06090,145
679,H2WA06129,66
680,H2NY13096,30
681,H0NY24055,28
682,H8MS03125,33
683,S0SC00289,1435
684,H0AL01055,23
685,H0IL06052,8
686,H8PA07200,63
687,H0FL19205,16
688,H2CA02142,24
689,S6IL00151,355
690,H0TX19068,5
691,H0VA05178,56
692,H8TX05144,60
693,S0IA00176,1525
694,H0FL26028,8
695,H2FL14053,53
696,H6IN03229,21
697,H0AL02145,162
698,H8IL14067,178
699,H0TX21114,1
700,H2OH09031,27
701,H0TX07170,495
702,H0TX36013,9
703,S8MN00578,318
704,H0NY14270,2
705,H8NY25105,26
706,H8NV03036,20
707,H0GA07232,23
708,H4NC12100,37
709,S0CO00518,82
710,S0CO00450,1
711,H6FL18121,3
